2025-03-04 01:37:48 | Power Usage: 213.44W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:48 | Power Usage: 221.19W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 83%
2025-03-04 01:37:48 | Power Usage: 214.28W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 83%
2025-03-04 01:37:48 | Power Usage: 219.22W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 72%
2025-03-04 01:37:49 | Power Usage: 217.16W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:49 | Power Usage: 220.05W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:49 | Power Usage: 215.8W/320.0W | Memory Usage: 21.549829018075233% | GPU Utilization: 74%
2025-03-04 01:37:49 | Power Usage: 221.09W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 74%
2025-03-04 01:37:49 | Power Usage: 216.07W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:49 | Power Usage: 223.49W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:49 | Power Usage: 216.75W/320.0W | Memory Usage: 21.543722520762092% | GPU Utilization: 81%
2025-03-04 01:37:49 | Power Usage: 217.14W/320.0W | Memory Usage: 21.458231558378113% | GPU Utilization: 70%
2025-03-04 01:37:50 | Power Usage: 217.26W/320.0W | Memory Usage: 21.458231558378113% | GPU Utilization: 79%
2025-03-04 01:37:50 | Power Usage: 214.98W/320.0W | Memory Usage: 21.458231558378113% | GPU Utilization: 79%
2025-03-04 01:37:50 | Power Usage: 217.13W/320.0W | Memory Usage: 21.452125061064972% | GPU Utilization: 79%
2025-03-04 01:37:50 | Power Usage: 216.98W/320.0W | Memory Usage: 21.452125061064972% | GPU Utilization: 79%
2025-03-04 01:37:50 | Power Usage: 215.81W/320.0W | Memory Usage: 21.452125061064972% | GPU Utilization: 69%
2025-03-04 01:37:50 | Power Usage: 216.28W/320.0W | Memory Usage: 21.452125061064972% | GPU Utilization: 80%
2025-03-04 01:37:50 | Power Usage: 207.91W/320.0W | Memory Usage: 21.458231558378113% | GPU Utilization: 80%
2025-03-04 01:37:50 | Power Usage: 214.25W/320.0W | Memory Usage: 21.452125061064972% | GPU Utilization: 77%
2025-03-04 01:37:51 | Power Usage: 205.93W/320.0W | Memory Usage: 21.452125061064972% | GPU Utilization: 68%
2025-03-04 01:37:51 | Power Usage: 212.85W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 68%
2025-03-04 01:37:51 | Power Usage: 214.65W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 81%
2025-03-04 01:37:51 | Power Usage: 206.16W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 81%
2025-03-04 01:37:51 | Power Usage: 211.57W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 76%
2025-03-04 01:37:51 | Power Usage: 214.45W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 76%
2025-03-04 01:37:51 | Power Usage: 210.84W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 71%
2025-03-04 01:37:51 | Power Usage: 214.69W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 78%
2025-03-04 01:37:51 | Power Usage: 208.41W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 78%
2025-03-04 01:37:52 | Power Usage: 209.9W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 77%
2025-03-04 01:37:52 | Power Usage: 212.89W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 77%
2025-03-04 01:37:52 | Power Usage: 208.71W/320.0W | Memory Usage: 21.44601856375183% | GPU Utilization: 73%
